"CodMan","CodFam","Descri","Salari","Superv","FecMan"
"DIS061","01","SERVICIO COORDINADOR DE PROCURA/DIA","64,67","","4/5/2026 12:00:00 a. m."
"DIS062","01","SERVICIO DE INGENIERIA AMBIENTAL/DIARIO","64,67","","4/5/2026 12:00:00 a. m."
"DIS063","01","SERVICIO DE PROYECTISTA /DIARIO","45,47","","4/5/2026 12:00:00 a. m."
"DIS064","01","SERVICIO DE CONTROL DOCUMENTAL /DIARIO","54,57","","4/5/2026 12:00:00 a. m."
"DIS065","01","SERVICIO DE COORDINADOR SSOA /DIARIO","57,6","","4/5/2026 12:00:00 a. m."
"DIS066","01","SERVICIO DE ASITENTE ADM /DIARIO","43,45","","4/5/2026 12:00:00 a. m."
"DIS067","01","SERVICIO DE SUPERVISION DE PROYECTO /DIA","539,6","","4/5/2026 12:00:00 a. m."
"DIS068","01","SERVICIO DE INGENIERIA DE SERVICIO /DIAR","539,6","","4/5/2026 12:00:00 a. m."
"DIS069","01","SERVICIO TECNICO ELECTRICISTA /DIARIO","434,51","","4/5/2026 12:00:00 a. m."
"DIS070","01","SERVICIO TECNICO ELECTROMECANICO /DIARIO","434,51","","4/5/2026 12:00:00 a. m."
"DIS071","01","SERVICIO ESPECIALISTA EN PROTECCIONES /D","614,37","","4/5/2026 12:00:00 a. m."
"DIS072","01","SERVICIO ESPECIALISTA SCADA /DIARIO","614,37","","4/5/2026 12:00:00 a. m."
"DIS073","01","SERVICIO ADIESTRAMIENTO PROG, CONTROL Y ","2526,21","","4/5/2026 12:00:00 a. m."
"DIS074","01","SERVICIO DE OPERACION DE GENERADOR (DIUR","454,72","","4/5/2026 12:00:00 a. m."
"DIS075","01","SERVICIO DE OPERACION DE GENERADOR (NOCT","581,03","","4/5/2026 12:00:00 a. m."
"DIS076","01","SERV ADIEST SIST IGNICION Y PILOTOS FLAR","2020,97","","4/5/2026 12:00:00 a. m."
"DIS077","01","SERVICIO DE ESPECIALISTA EN MASONEILAN","1313,63","","4/5/2026 12:00:00 a. m."
"DIS078","01","SERVICIO DE ESPECIALISTA EN AUTOMATIZACI","568,9","","4/5/2026 12:00:00 a. m."
"DTC001","01","ASISTENTE DE INGENIERO","15,16","","4/5/2026 12:00:00 a. m."
"DTC002","01","ASISTENTE DE ARQUITECTO","15,16","","4/5/2026 12:00:00 a. m."
"DTC003","01","TOPOGRAFO CON EQUIPO Y AUXILIAR","101,04","","4/5/2026 12:00:00 a. m."
"DTC004","01","DISEÑADOR GRAFICO","13,14","","4/5/2026 12:00:00 a. m."
"DTC005","01","TOPOGRAFO","27,28","","4/5/2026 12:00:00 a. m."
"DTC006","01","DIBUJANTE","13,14","","4/5/2026 12:00:00 a. m."
"DTC007","01","COMPUTISTA","13,14","","4/5/2026 12:00:00 a. m."
"DTC008","01","CALCULISTA","13,14","","4/5/2026 12:00:00 a. m."
"DTC009","01","TECNICO SUPERIOR UNIVERSITARIO TSU","15,16","","4/5/2026 12:00:00 a. m."
"DTC010","01","ESPECIALISTA / TECNICO SHA","22,23","","4/5/2026 12:00:00 a. m."
"DTC011","01","PARAMEDICO","13,14","","4/5/2026 12:00:00 a. m."
"DTC012","01","TECNICO OPERADOR DE DRONE","45,47","","4/5/2026 12:00:00 a. m."
"DTC013","01","AYUDANTE DE TECNICO OPERADOR DE DRONE","35,37","","4/5/2026 12:00:00 a. m."
"DTC014","01","TSU EN INFORMATICA","30,31","","4/5/2026 12:00:00 a. m."
"DTC015","01","TSU EN SEGURIDAD INDUSTRIAL","30,31","","4/5/2026 12:00:00 a. m."
"ECU001","01","PEON E2 /ECUADOR $ SALARIO UNIFICADO 202","0","","4/5/2026 12:00:00 a. m."
