"CodEqu","CodFam","Descri","CosEqu","CosDia","Deprec","Transp","FecEqu","Dep01","Provee","Man01","Rep01","TipEqu"
"ALB154","00","CORTADORA DE TUBOS DE HIERRO HASTA D=6""","110,11","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB155","00","PALUSTRA ESPECIAL","19,82","","0,02","","4/5/2026 12:00:00 a. m.","1","EPA SUPERFERRETERIA","","",""
"ALB156","00","RATCHET 29 PIEZAS MARCA PROTO O SIMILAR","484,49","","0,01","","4/5/2026 12:00:00 a. m.","1","FERRETERIA DEL ESTE S.A.","","",""
"ALB157","00","MOTOCARRETON DUMPER, 17 HP,3000 RPM, RE=","22022,18","","0,003","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB158","00","REGLA DE ALBAÑIL (TUBO RECTO HIERRO 2X1)","33,88","","0,009","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB159","00","TIJERA PARA CORTAR LAMINAS","88,1","","0,01","","4/5/2026 12:00:00 a. m.","1","RAPIDFIX COMERCIALIZADORA CA /AKI","","",""
"ALB160","00","ESPATULA PARA ESQUINAS","5,53","","0,01","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB161","00","CRISOL MEDIAÑO PARA FUNDIR PLOMO","126,63","","0,03","","4/5/2026 12:00:00 a. m.","1","CAMPI FERRETERIA C.A.","","",""
"ALB162","00","LLAVE AJUSTABLE 8"" ACESA O SIMILAR","45,13","","0,01","","4/5/2026 12:00:00 a. m.","1","FERRETERIA DEL ESTE S.A.","","",""
"ALB163","00","VIBRADOR CABEZAL D= 48 MM, ELECTRICO, L=","1090,12","","0,0158","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB164","00","EQUIPO DE OXIACETILENO CON ACCESORIOS","22,01","","1","","4/5/2026 12:00:00 a. m.","1","OXIGENO BELLO MONTE C.A.","","",""
"ALB165","00","TALADRO PERCUTOR DE 1/2""","22,01","","1","","4/5/2026 12:00:00 a. m.","1","DM Y ESTRUCTURAS C.A. (Andamios)","","",""
"ALB166","00","TALADRO PERCUTOR","8,81","","1","","4/5/2026 12:00:00 a. m.","1","DM Y ESTRUCTURAS C.A. (Andamios)","","",""
"ALB167","00","PALUSTRA LISA CON MANGO PLASTICO","14,3","","0,035","","4/5/2026 12:00:00 a. m.","1","EPA SUPERFERRETERIA","","",""
"ALB168","00","PALA PUNTA REDONDA CON CABO (EXCAVACION)","30,82","","0,034","","4/5/2026 12:00:00 a. m.","1","FERRETERIA DEL ESTE S.A.","","",""
"ALB169","00","CORTADORA ELECTRICA/HUMEDA DE PORCELANAT","110,11","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB170","00","CORTADORA MANUAL PARA PORCELANATO","22,01","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB171","00","HERRAMIENTAS MENORES","44,03","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB172","00","PISTOLA / DISPENSADOR DE CARTUCHO DE SIL","20,89","","0,04","","4/5/2026 12:00:00 a. m.","1","EPA SUPERFERRETERIA","","",""
"ALB173","00","EQUIPO DE ALBAÑILERIA","22,01","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB174","00","RATON / PALUSTRA P/REMATE ESQUINAS","16,49","","0,09","","4/5/2026 12:00:00 a. m.","1","EPA SUPERFERRETERIA","","",""
"ALB175","00","RATON CENTRAL / PALUSTRA P/JUNTA LOSAS","16,49","","0,09","","4/5/2026 12:00:00 a. m.","1","EPA SUPERFERRETERIA","","",""
